item,itemLabel,statements,ensg_wdt,entrez,ensg_panglao,species
Q66668555,Gm23947,14,ENSMUSG00000095624,115488870,ENSMUSG00000095624,Mus musculus
Q66659416,Gm25598,14,ENSMUSG00000096849,115488871,ENSMUSG00000096849,Mus musculus
Q66660645,Gm23264,14,ENSMUSG00000094158,115488872,ENSMUSG00000094158,Mus musculus
Q66668558,Gm24492,14,ENSMUSG00000065732,115488873,ENSMUSG00000065732,Mus musculus
Q66668559,Gm23186,14,ENSMUSG00000096200,115488874,ENSMUSG00000096200,Mus musculus
Q66662829,Gm23421,17,ENSMUSG00000096022,115488876,ENSMUSG00000096022,Mus musculus
Q66660149,Gm26066,14,ENSMUSG00000065319,115488877,ENSMUSG00000065319,Mus musculus
Q66670818,Gm22593,14,ENSMUSG00000077433,115488878,ENSMUSG00000077433,Mus musculus
Q66668561,Gm24126,14,ENSMUSG00000077299,115488879,ENSMUSG00000077299,Mus musculus
Q66660646,Gm24867,14,ENSMUSG00000077349,115488880,ENSMUSG00000077349,Mus musculus
Q66662830,Gm23203,14,ENSMUSG00000077562,115488881,ENSMUSG00000077562,Mus musculus
Q66667246,Gm26500,14,ENSMUSG00000093998,115488882,ENSMUSG00000093998,Mus musculus
Q66667247,Gm26375,14,ENSMUSG00000095184,115488884,ENSMUSG00000095184,Mus musculus
Q66665051,Gm23111,17,ENSMUSG00000084601,115488885,ENSMUSG00000084601,Mus musculus
Q66668563,Gm24661,14,ENSMUSG00000094785,115488886,ENSMUSG00000094785,Mus musculus
Q66660647,Gm22978,14,ENSMUSG00000064541,115488887,ENSMUSG00000064541,Mus musculus
Q66660648,Gm22654,9,,115488888,ENSMUSG00000088499,Mus musculus
Q66660150,Gm23125,14,ENSMUSG00000088276,115488889,ENSMUSG00000088276,Mus musculus
Q66661234,Gm22215,14,ENSMUSG00000088183,115488890,ENSMUSG00000088183,Mus musculus
Q66660154,n-R5s25,14,ENSMUSG00000064857,115488945,ENSMUSG00000064857,Mus musculus
Q66668570,Gm25785,14,ENSMUSG00000077317,115488946,ENSMUSG00000077317,Mus musculus
Q66660655,Gm22210,14,ENSMUSG00000088726,115488947,ENSMUSG00000088726,Mus musculus
Q66661242,Gm26378,14,ENSMUSG00000095233,115488966,ENSMUSG00000095233,Mus musculus
Q66659422,Gm23512,14,ENSMUSG00000095972,115488967,ENSMUSG00000095972,Mus musculus
Q66659423,Gm23610,14,ENSMUSG00000094292,115488968,ENSMUSG00000094292,Mus musculus
Q66668577,Gm22886,14,ENSMUSG00000096341,115488969,ENSMUSG00000096341,Mus musculus
Q66667262,Gm25453,14,ENSMUSG00000094440,115488970,ENSMUSG00000094440,Mus musculus
Q66660156,Gm25739,14,ENSMUSG00000095482,115488971,ENSMUSG00000095482,Mus musculus
Q66660157,Gm26430,14,ENSMUSG00000095883,115488972,ENSMUSG00000095883,Mus musculus
Q66659424,Gm22251,14,ENSMUSG00000096288,115488973,ENSMUSG00000096288,Mus musculus
Q66660656,Gm24292,14,ENSMUSG00000064822,115488974,ENSMUSG00000064822,Mus musculus
Q66661842,Gm22259,14,ENSMUSG00000096863,115488975,ENSMUSG00000096863,Mus musculus
Q66660657,Gm22264,14,ENSMUSG00000094137,115488976,ENSMUSG00000094137,Mus musculus
Q66660658,Gm23350,14,ENSMUSG00000089054,115488977,ENSMUSG00000089054,Mus musculus
Q66661844,Gm24384,8,,115488980,ENSMUSG00000084642,Mus musculus
Q66660659,Gm23207,14,ENSMUSG00000089290,115488981,ENSMUSG00000089290,Mus musculus
Q66659425,Gm26038,14,ENSMUSG00000088776,115488982,ENSMUSG00000088776,Mus musculus
Q66667263,Gm23205,14,ENSMUSG00000089296,115488985,ENSMUSG00000089296,Mus musculus
Q66660660,Gm26403,14,ENSMUSG00000089125,115488986,ENSMUSG00000089125,Mus musculus
Q66668580,Gm24848,14,ENSMUSG00000088656,115488987,ENSMUSG00000088656,Mus musculus
Q66662838,Gm23859,14,ENSMUSG00000089008,115488988,ENSMUSG00000089008,Mus musculus
Q66662839,Gm22788,14,ENSMUSG00000088501,115488989,ENSMUSG00000088501,Mus musculus
Q66667264,Gm23411,14,ENSMUSG00000096804,115488990,ENSMUSG00000096804,Mus musculus
Q66661845,Gm24924,14,ENSMUSG00000094306,115488991,ENSMUSG00000094306,Mus musculus
Q66660158,Gm23581,14,ENSMUSG00000089156,115488993,ENSMUSG00000089156,Mus musculus
Q66661243,Gm23016,14,ENSMUSG00000095778,115488994,ENSMUSG00000095778,Mus musculus
Q66660160,Gm23301,14,ENSMUSG00000064647,115488997,ENSMUSG00000064647,Mus musculus
Q66660661,Gm26202,14,ENSMUSG00000064844,115488998,ENSMUSG00000064844,Mus musculus
Q66660662,Gm26109,14,ENSMUSG00000065904,115488999,ENSMUSG00000065904,Mus musculus
Q66661245,Gm26244,14,ENSMUSG00000095616,115489000,ENSMUSG00000095616,Mus musculus
Q66661846,Gm22200,14,ENSMUSG00000089239,115489001,ENSMUSG00000089239,Mus musculus
Q66660663,Gm23639,14,ENSMUSG00000092819,115489002,ENSMUSG00000092819,Mus musculus
Q66665088,Gm26046,14,ENSMUSG00000087937,115489053,ENSMUSG00000087937,Mus musculus
Q66660672,Gm24336,14,ENSMUSG00000077391,115489055,ENSMUSG00000077391,Mus musculus
Q66660169,Gm22365,14,ENSMUSG00000070263,115489060,ENSMUSG00000070263,Mus musculus
Q66668592,Gm23140,14,ENSMUSG00000094400,115489061,ENSMUSG00000094400,Mus musculus
Q66661852,Gm24521,14,ENSMUSG00000065892,115489062,ENSMUSG00000065892,Mus musculus
Q66668593,Gm25431,14,ENSMUSG00000093983,115489063,ENSMUSG00000093983,Mus musculus
Q66659430,Gm23095,14,ENSMUSG00000065380,115489064,ENSMUSG00000065380,Mus musculus
Q66662843,Gm24319,14,ENSMUSG00000094850,115489065,ENSMUSG00000094850,Mus musculus
Q66667267,Gm22443,14,ENSMUSG00000064824,115489066,ENSMUSG00000064824,Mus musculus
Q66665091,Gm25644,14,ENSMUSG00000065143,115489067,ENSMUSG00000065143,Mus musculus
Q66659431,Gm22113,14,ENSMUSG00000096774,115489068,ENSMUSG00000096774,Mus musculus
Q66659432,Gm26207,14,ENSMUSG00000064843,115489069,ENSMUSG00000064843,Mus musculus
Q66670836,Gm23940,14,ENSMUSG00000075908,115489070,ENSMUSG00000075908,Mus musculus
Q66660673,Gm25482,14,ENSMUSG00000065159,115489071,ENSMUSG00000065159,Mus musculus
Q66661252,Gm25268,9,,115489072,ENSMUSG00000089143,Mus musculus
Q66668595,Gm24263,14,ENSMUSG00000096249,115489073,ENSMUSG00000096249,Mus musculus
Q66662844,Gm24805,14,ENSMUSG00000096704,115489074,ENSMUSG00000096704,Mus musculus
Q66661253,Gm24400,14,ENSMUSG00000088490,115489076,ENSMUSG00000088490,Mus musculus
Q66659433,Gm22880,14,ENSMUSG00000088370,115489077,ENSMUSG00000088370,Mus musculus
Q66665094,Gm22684,14,ENSMUSG00000064783,115489079,ENSMUSG00000064783,Mus musculus
Q66662848,Gm23238,14,ENSMUSG00000064941,115489085,ENSMUSG00000064941,Mus musculus
Q66667270,Gm25443,14,ENSMUSG00000089625,115489088,ENSMUSG00000089625,Mus musculus
Q66668598,Gm23300,14,ENSMUSG00000064646,115489089,ENSMUSG00000064646,Mus musculus
Q66660675,Gm22082,14,ENSMUSG00000088212,115489090,ENSMUSG00000088212,Mus musculus
Q66659437,n-R5s2,14,ENSMUSG00000075918,115489156,ENSMUSG00000075918,Mus musculus
Q66668608,Gm25023,14,ENSMUSG00000093905,115489157,ENSMUSG00000093905,Mus musculus
Q66660681,Gm24535,14,ENSMUSG00000065074,115489158,ENSMUSG00000065074,Mus musculus
Q66660177,Gm22062,14,ENSMUSG00000064497,115489159,ENSMUSG00000064497,Mus musculus
Q66662852,Gm24491,14,ENSMUSG00000065733,115489160,ENSMUSG00000065733,Mus musculus
Q66665108,Gm23461,14,ENSMUSG00000065199,115489161,ENSMUSG00000065199,Mus musculus
Q66665111,Gm25257,14,ENSMUSG00000094976,115489162,ENSMUSG00000094976,Mus musculus
Q66665113,Gm22746,14,ENSMUSG00000064428,115489163,ENSMUSG00000064428,Mus musculus
Q66662853,Gm26314,14,ENSMUSG00000065825,115489164,ENSMUSG00000065825,Mus musculus
Q66670845,Gm24522,14,ENSMUSG00000065898,115489165,ENSMUSG00000065898,Mus musculus
Q66659438,Gm24268,14,ENSMUSG00000096247,115489166,ENSMUSG00000096247,Mus musculus
Q66670846,Gm26065,14,ENSMUSG00000065314,115489167,ENSMUSG00000065314,Mus musculus
Q66665116,Gm26111,14,ENSMUSG00000065903,115489168,ENSMUSG00000065903,Mus musculus
Q66667281,Gm25078,14,ENSMUSG00000064464,115489169,ENSMUSG00000064464,Mus musculus
Q66665118,Gm25851,14,ENSMUSG00000064728,115489170,ENSMUSG00000064728,Mus musculus
Q66660178,Gm26437,14,ENSMUSG00000064529,115489171,ENSMUSG00000064529,Mus musculus
Q66659439,Gm26441,14,ENSMUSG00000064524,115489173,ENSMUSG00000064524,Mus musculus
Q66662854,Gm22359,14,ENSMUSG00000064818,115489174,ENSMUSG00000064818,Mus musculus
Q66662855,Gm22287,14,ENSMUSG00000094896,115489175,ENSMUSG00000094896,Mus musculus
Q66667282,Gm23378,14,ENSMUSG00000064876,115489176,ENSMUSG00000064876,Mus musculus
Q66661259,Gm23516,14,ENSMUSG00000070240,115489178,ENSMUSG00000070240,Mus musculus
Q66670848,Gm25006,14,ENSMUSG00000065747,115489179,ENSMUSG00000065747,Mus musculus
Q66661260,Gm25629,14,ENSMUSG00000065935,115489180,ENSMUSG00000065935,Mus musculus
Q66662856,Gm22294,14,ENSMUSG00000065242,115489181,ENSMUSG00000065242,Mus musculus
Q66667283,Gm25061,14,ENSMUSG00000077857,115489182,ENSMUSG00000077857,Mus musculus
Q66661860,Gm25797,14,ENSMUSG00000064574,115489183,ENSMUSG00000064574,Mus musculus
Q66665121,Gm23794,14,ENSMUSG00000065943,115489184,ENSMUSG00000065943,Mus musculus
Q66660180,Gm23656,14,ENSMUSG00000084575,115489188,ENSMUSG00000084575,Mus musculus
Q66665127,Gm22783,14,ENSMUSG00000077277,115489190,ENSMUSG00000077277,Mus musculus
Q66661861,Gm23958,14,ENSMUSG00000087832,115489191,ENSMUSG00000087832,Mus musculus
Q66660181,Gm25332,14,ENSMUSG00000088663,115489192,ENSMUSG00000088663,Mus musculus
Q66662858,Gm23124,14,ENSMUSG00000088275,115489193,ENSMUSG00000088275,Mus musculus
Q66668611,Gm26000,14,ENSMUSG00000088616,115489194,ENSMUSG00000088616,Mus musculus
Q66667284,Gm23199,14,ENSMUSG00000089437,115489195,ENSMUSG00000089437,Mus musculus
Q66662859,Gm23258,14,ENSMUSG00000088944,115489196,ENSMUSG00000088944,Mus musculus
Q66667285,Gm22090,14,ENSMUSG00000088960,115489197,ENSMUSG00000088960,Mus musculus
Q66662860,Gm25828,14,ENSMUSG00000087712,115489199,ENSMUSG00000087712,Mus musculus
Q66668612,Gm22139,14,ENSMUSG00000089372,115489200,ENSMUSG00000089372,Mus musculus
Q66662861,Gm26099,14,ENSMUSG00000087873,115489202,ENSMUSG00000087873,Mus musculus
Q66660182,Gm23901,14,ENSMUSG00000088195,115489203,ENSMUSG00000088195,Mus musculus
Q66661262,Gm27510,14,ENSMUSG00000088839,115489204,ENSMUSG00000088839,Mus musculus
Q66665129,Gm24577,14,ENSMUSG00000089205,115489205,ENSMUSG00000089205,Mus musculus
Q66661862,Gm24061,14,ENSMUSG00000088114,115489206,ENSMUSG00000088114,Mus musculus
Q66667286,Gm24598,14,ENSMUSG00000084459,115489207,ENSMUSG00000084459,Mus musculus
Q66659440,Gm23454,14,ENSMUSG00000065266,115489208,ENSMUSG00000065266,Mus musculus
Q66662862,Gm23615,14,ENSMUSG00000064536,115489209,ENSMUSG00000064536,Mus musculus
Q66665131,Gm24493,14,ENSMUSG00000065739,115489210,ENSMUSG00000065739,Mus musculus
Q66667287,Gm26494,14,ENSMUSG00000065088,115489211,ENSMUSG00000065088,Mus musculus
Q66661263,Gm24147,14,ENSMUSG00000064697,115489212,ENSMUSG00000064697,Mus musculus
Q66667838,Gm23613,8,,115489213,ENSMUSG00000064530,Mus musculus
Q66667288,Gm25520,14,ENSMUSG00000089014,115489214,ENSMUSG00000089014,Mus musculus
Q66660387,Gm24460,14,ENSMUSG00000064665,115489215,ENSMUSG00000064665,Mus musculus
Q66659902,Gm23557,14,ENSMUSG00000088445,115489217,ENSMUSG00000088445,Mus musculus
Q66660388,Gm25651,8,,115489218,ENSMUSG00000065716,Mus musculus
Q66659903,Gm22472,14,ENSMUSG00000077303,115489219,ENSMUSG00000077303,Mus musculus
Q66661863,Gm25097,14,ENSMUSG00000077230,115489220,ENSMUSG00000077230,Mus musculus
Q66661865,n-R5s13,14,ENSMUSG00000070219,115489235,ENSMUSG00000070219,Mus musculus
Q66662866,Gm23322,14,ENSMUSG00000077652,115489237,ENSMUSG00000077652,Mus musculus
Q66670397,Gm23320,14,ENSMUSG00000077650,115489238,ENSMUSG00000077650,Mus musculus
Q66661866,Gm24718,14,ENSMUSG00000088146,115489240,ENSMUSG00000088146,Mus musculus
Q66662867,Gm24624,14,ENSMUSG00000064551,115489241,ENSMUSG00000064551,Mus musculus
Q66659908,Gm23786,8,,115489242,ENSMUSG00000080394,Mus musculus
Q66659908,Gm23786,8,,115489242,ENSMUSG00000104536,Mus musculus
Q66659909,Gm24907,14,ENSMUSG00000080582,115489243,ENSMUSG00000080582,Mus musculus
Q66665141,Gm24831,14,ENSMUSG00000080428,115489245,ENSMUSG00000080428,Mus musculus
Q66667293,Gm26007,14,ENSMUSG00000089423,115489246,ENSMUSG00000089423,Mus musculus
Q66660391,Gm24622,14,ENSMUSG00000064553,115489248,ENSMUSG00000064553,Mus musculus
Q66661867,Gm25481,14,ENSMUSG00000065155,115489249,ENSMUSG00000065155,Mus musculus
Q66660392,Gm25421,14,ENSMUSG00000077406,115489250,ENSMUSG00000077406,Mus musculus
Q66670398,Gm24038,14,ENSMUSG00000064806,115489251,ENSMUSG00000064806,Mus musculus
Q66660394,Gm25728,14,ENSMUSG00000077713,115489252,ENSMUSG00000077713,Mus musculus
Q66661869,Gm26312,14,ENSMUSG00000088394,115489254,ENSMUSG00000088394,Mus musculus
Q66670402,Gm25202,14,ENSMUSG00000064772,115489257,ENSMUSG00000064772,Mus musculus
Q66670404,Gm26108,14,ENSMUSG00000065907,115489258,ENSMUSG00000065907,Mus musculus
Q66659910,Gm24763,15,ENSMUSG00000065622,115489259,ENSMUSG00000065622,Mus musculus
Q66665142,Gm26020,14,ENSMUSG00000084678,115489260,ENSMUSG00000084678,Mus musculus
Q66659915,Gm22580,14,ENSMUSG00000065661,115489271,ENSMUSG00000065661,Mus musculus
Q66667296,Gm26317,14,ENSMUSG00000065828,115489272,ENSMUSG00000065828,Mus musculus
Q66665148,Gm22288,14,ENSMUSG00000094897,115489273,ENSMUSG00000094897,Mus musculus
Q66660396,Gm22057,14,ENSMUSG00000065321,115489274,ENSMUSG00000065321,Mus musculus
Q66665150,Gm25793,14,ENSMUSG00000065221,115489275,ENSMUSG00000065221,Mus musculus
Q66661266,Gm25412,14,ENSMUSG00000096222,115489276,ENSMUSG00000096222,Mus musculus
Q66662870,Gm23678,14,ENSMUSG00000065091,115489278,ENSMUSG00000065091,Mus musculus
Q66661267,Gm26125,14,ENSMUSG00000065291,115489279,ENSMUSG00000065291,Mus musculus
Q66661870,Gm22550,14,ENSMUSG00000095284,115489280,ENSMUSG00000095284,Mus musculus
Q66660397,Gm25207,14,ENSMUSG00000070258,115489281,ENSMUSG00000070258,Mus musculus
Q66662871,Gm25812,14,ENSMUSG00000064685,115489282,ENSMUSG00000064685,Mus musculus
Q66659446,Gm21828,8,,115489290,ENSMUSG00000095759,Mus musculus
Q66667298,Gm25565,14,ENSMUSG00000077793,115489306,ENSMUSG00000077793,Mus musculus
Q66667848,Gm24592,15,ENSMUSG00000084454,115489324,ENSMUSG00000084454,Mus musculus
Q66667855,Gm23462,15,ENSMUSG00000065198,115489349,ENSMUSG00000065198,Mus musculus
Q66661877,Gm24712,9,,115489353,ENSMUSG00000096331,Mus musculus
Q66659453,Gm23552,10,,115489354,ENSMUSG00000094579,Mus musculus
Q66665177,Gm23977,9,,115489355,ENSMUSG00000096482,Mus musculus
Q66667302,Gm24072,9,,115489359,ENSMUSG00000094408,Mus musculus
Q66660407,Gm24381,15,ENSMUSG00000084646,115489369,ENSMUSG00000084646,Mus musculus
Q66667304,Gm24002,15,ENSMUSG00000089081,115489370,ENSMUSG00000089081,Mus musculus
Q66667305,Gm24091,15,ENSMUSG00000093793,115489378,ENSMUSG00000093793,Mus musculus
Q66661274,Gm23405,15,ENSMUSG00000064476,115489381,ENSMUSG00000064476,Mus musculus
Q66665221,Gm22975,14,ENSMUSG00000065237,115489564,ENSMUSG00000065237,Mus musculus
Q66660426,Gm23970,14,ENSMUSG00000065253,115489565,ENSMUSG00000065253,Mus musculus
Q66670458,Gm25081,14,ENSMUSG00000064468,115489566,ENSMUSG00000064468,Mus musculus
Q66661288,Gm24461,14,ENSMUSG00000064669,115489568,ENSMUSG00000064669,Mus musculus
Q66667328,Gm22245,14,ENSMUSG00000064413,115489569,ENSMUSG00000064413,Mus musculus
Q66667880,Gm22572,14,ENSMUSG00000064919,115489570,ENSMUSG00000064919,Mus musculus
Q66667330,Gm25147,14,ENSMUSG00000064964,115489572,ENSMUSG00000064964,Mus musculus
Q66662890,Gm25879,14,ENSMUSG00000077518,115489573,ENSMUSG00000077518,Mus musculus
Q66667331,Gm24892,14,ENSMUSG00000084696,115489574,ENSMUSG00000084696,Mus musculus
Q66661289,Gm23463,14,ENSMUSG00000084417,115489575,ENSMUSG00000084417,Mus musculus
Q66660427,Gm23390,14,ENSMUSG00000088018,115489576,ENSMUSG00000088018,Mus musculus
Q66670460,Gm25881,14,ENSMUSG00000088408,115489577,ENSMUSG00000088408,Mus musculus
Q66667881,Gm22675,14,ENSMUSG00000089055,115489578,ENSMUSG00000089055,Mus musculus
Q66659952,Gm22606,14,ENSMUSG00000088915,115489581,ENSMUSG00000088915,Mus musculus
Q66661894,Gm24905,14,ENSMUSG00000088754,115489582,ENSMUSG00000088754,Mus musculus
Q66659470,Gm22708,14,ENSMUSG00000089612,115489583,ENSMUSG00000089612,Mus musculus
Q66667335,Gm23858,14,ENSMUSG00000089009,115489584,ENSMUSG00000089009,Mus musculus
Q66660428,Gm25898,14,ENSMUSG00000088928,115489585,ENSMUSG00000088928,Mus musculus
Q66661291,Gm25129,14,ENSMUSG00000064585,115489591,ENSMUSG00000064585,Mus musculus
Q66660431,Gm27343,14,ENSMUSG00000088139,115489597,ENSMUSG00000088139,Mus musculus
Q66661897,Gm23969,14,ENSMUSG00000065258,115489598,ENSMUSG00000065258,Mus musculus
Q66662892,Gm22192,14,ENSMUSG00000094382,115489599,ENSMUSG00000094382,Mus musculus
Q66670463,Gm25632,14,ENSMUSG00000094251,115489600,ENSMUSG00000094251,Mus musculus
Q66659953,Gm22652,14,ENSMUSG00000065141,115489603,ENSMUSG00000065141,Mus musculus
Q66670465,Gm22704,14,ENSMUSG00000064961,115489604,ENSMUSG00000064961,Mus musculus
Q66660432,Gm22813,14,ENSMUSG00000105886,115489605,ENSMUSG00000105450,Mus musculus
Q66660432,Gm22813,14,ENSMUSG00000105886,115489605,ENSMUSG00000105886,Mus musculus
Q66667338,Gm25388,14,ENSMUSG00000087964,115489606,ENSMUSG00000087964,Mus musculus
Q66665223,Gm25215,14,ENSMUSG00000077769,115489607,ENSMUSG00000077769,Mus musculus
Q66660433,Gm22889,8,,115489608,ENSMUSG00000089264,Mus musculus
Q66661899,Gm22298,14,ENSMUSG00000064596,115489610,ENSMUSG00000064596,Mus musculus
Q66665226,Gm23598,14,ENSMUSG00000087887,115489611,ENSMUSG00000087887,Mus musculus
Q66670466,Gm23546,14,ENSMUSG00000088836,115489612,ENSMUSG00000088836,Mus musculus
Q66665228,Gm23716,14,ENSMUSG00000087973,115489613,ENSMUSG00000087973,Mus musculus
Q66667343,Gm25189,14,ENSMUSG00000065845,115489620,ENSMUSG00000065845,Mus musculus
Q66660435,Gm25308,14,ENSMUSG00000077359,115489626,ENSMUSG00000077359,Mus musculus
Q66670472,Gm23505,14,ENSMUSG00000089614,115489631,ENSMUSG00000089614,Mus musculus
Q66661296,Gm22516,14,ENSMUSG00000088891,115489634,ENSMUSG00000088891,Mus musculus
Q66665237,Gm24644,14,ENSMUSG00000087739,115489635,ENSMUSG00000087739,Mus musculus
Q66667344,Gm22676,14,ENSMUSG00000080622,115489637,ENSMUSG00000080622,Mus musculus
Q66660436,Gm25541,14,ENSMUSG00000080538,115489638,ENSMUSG00000080538,Mus musculus
Q66660437,Gm25338,14,ENSMUSG00000080499,115489639,ENSMUSG00000080499,Mus musculus
Q66661298,Gm24221,14,ENSMUSG00000089458,115489641,ENSMUSG00000089458,Mus musculus
Q66661299,Gm23118,14,ENSMUSG00000084606,115489647,ENSMUSG00000084606,Mus musculus
Q66667345,Gm25703,14,ENSMUSG00000065057,115489650,ENSMUSG00000065057,Mus musculus
Q66662895,Gm22005,14,ENSMUSG00000075837,115489653,ENSMUSG00000075837,Mus musculus
Q66659474,Gm26496,14,ENSMUSG00000065084,115489655,ENSMUSG00000065084,Mus musculus
Q66662896,Gm25583,14,ENSMUSG00000065347,115489656,ENSMUSG00000065347,Mus musculus
Q66661301,Gm22352,14,ENSMUSG00000065851,115489657,ENSMUSG00000065851,Mus musculus
Q66659475,Gm25516,14,ENSMUSG00000065791,115489658,ENSMUSG00000065791,Mus musculus
Q66660440,Gm22306,14,ENSMUSG00000064626,115489659,ENSMUSG00000064626,Mus musculus
Q66661907,Gm25258,14,ENSMUSG00000064983,115489660,ENSMUSG00000064983,Mus musculus
Q66667888,Gm25518,14,ENSMUSG00000065798,115489661,ENSMUSG00000065798,Mus musculus
Q66659957,Gm26127,14,ENSMUSG00000065127,115489662,ENSMUSG00000065127,Mus musculus
Q66662897,Gm23731,14,ENSMUSG00000065683,115489663,ENSMUSG00000065683,Mus musculus
Q66667890,Gm22502,14,ENSMUSG00000064422,115489664,ENSMUSG00000064422,Mus musculus
Q66661303,Gm22997,14,ENSMUSG00000064779,115489665,ENSMUSG00000064779,Mus musculus
Q66665242,Gm23452,14,ENSMUSG00000065261,115489666,ENSMUSG00000065261,Mus musculus
Q66660441,Gm23369,14,ENSMUSG00000093147,115489667,ENSMUSG00000093147,Mus musculus
Q66662898,Gm23814,14,ENSMUSG00000065164,115489668,ENSMUSG00000065164,Mus musculus
Q66660442,Gm23503,14,ENSMUSG00000065837,115489669,ENSMUSG00000065837,Mus musculus
Q66659958,Gm23846,14,ENSMUSG00000065769,115489670,ENSMUSG00000065769,Mus musculus
Q66665243,Gm25512,14,ENSMUSG00000065797,115489671,ENSMUSG00000065797,Mus musculus
Q66661908,Gm23691,14,ENSMUSG00000075826,115489672,ENSMUSG00000075826,Mus musculus
Q66670482,n-R5s194,14,ENSMUSG00000094830,115489751,ENSMUSG00000094830,Mus musculus
Q66661308,Gm26204,14,ENSMUSG00000064840,115489752,ENSMUSG00000064840,Mus musculus
Q66665275,Gm24614,14,ENSMUSG00000065203,115489753,ENSMUSG00000065203,Mus musculus
Q66667912,Gm22505,14,ENSMUSG00000064890,115489754,ENSMUSG00000064890,Mus musculus
Q66659963,Gm25080,14,ENSMUSG00000064460,115489755,ENSMUSG00000064460,Mus musculus
Q66659482,Gm23269,14,ENSMUSG00000094489,115489756,ENSMUSG00000094489,Mus musculus
Q66659483,Gm23733,14,ENSMUSG00000065684,115489757,ENSMUSG00000065684,Mus musculus
Q66659484,Gm23379,14,ENSMUSG00000096848,115489758,ENSMUSG00000096848,Mus musculus
Q66659485,Gm26107,14,ENSMUSG00000065906,115489759,ENSMUSG00000065906,Mus musculus
Q66659964,Gm25755,14,ENSMUSG00000065330,115489761,ENSMUSG00000065330,Mus musculus
Q66660446,Gm26166,14,ENSMUSG00000065722,115489762,ENSMUSG00000065722,Mus musculus
Q66667355,Gm22421,14,ENSMUSG00000064992,115489763,ENSMUSG00000064992,Mus musculus
Q66662905,Gm23096,14,ENSMUSG00000065381,115489764,ENSMUSG00000065381,Mus musculus
Q66667356,Gm23941,14,ENSMUSG00000075903,115489765,ENSMUSG00000075903,Mus musculus
Q66667357,Gm24457,14,ENSMUSG00000065130,115489766,ENSMUSG00000065130,Mus musculus
Q66665281,Gm25890,14,ENSMUSG00000095260,115489767,ENSMUSG00000095260,Mus musculus
Q66670484,Gm25132,14,ENSMUSG00000064586,115489768,ENSMUSG00000064586,Mus musculus
Q66659486,Gm23725,14,ENSMUSG00000094982,115489769,ENSMUSG00000094982,Mus musculus
Q66665284,Gm22458,14,ENSMUSG00000064510,115489770,ENSMUSG00000064510,Mus musculus
Q66659487,Gm25681,14,ENSMUSG00000065872,115489771,ENSMUSG00000065872,Mus musculus
Q66665288,Gm25039,14,ENSMUSG00000064867,115489772,ENSMUSG00000064867,Mus musculus
Q66670485,Gm25199,14,ENSMUSG00000065029,115489773,ENSMUSG00000065029,Mus musculus
Q66661309,Gm22575,14,ENSMUSG00000064915,115489774,ENSMUSG00000064915,Mus musculus
Q66661917,Gm22301,14,ENSMUSG00000064590,115489775,ENSMUSG00000064590,Mus musculus
Q66659488,Gm24704,14,ENSMUSG00000070227,115489776,ENSMUSG00000070227,Mus musculus
Q66667358,Gm25696,14,ENSMUSG00000064834,115489777,ENSMUSG00000064834,Mus musculus
Q66659489,Gm22614,14,ENSMUSG00000094812,115489778,ENSMUSG00000094812,Mus musculus
Q66659965,Gm23038,14,ENSMUSG00000065807,115489779,ENSMUSG00000065807,Mus musculus
Q66661310,Gm24150,14,ENSMUSG00000064693,115489780,ENSMUSG00000064693,Mus musculus
Q66660448,Gm26076,14,ENSMUSG00000077253,115489781,ENSMUSG00000077253,Mus musculus
Q66662906,Gm22935,14,ENSMUSG00000077148,115489782,ENSMUSG00000077148,Mus musculus
Q66661311,Gm24185,14,ENSMUSG00000084527,115489783,ENSMUSG00000084527,Mus musculus
Q66659966,Gm24593,14,ENSMUSG00000084456,115489784,ENSMUSG00000084456,Mus musculus
Q66665291,Gm26091,8,,115489785,ENSMUSG00000084653,Mus musculus
Q66661312,Gm26420,14,ENSMUSG00000077461,115489786,ENSMUSG00000077461,Mus musculus
Q66661313,Gm24435,14,ENSMUSG00000088511,115489787,ENSMUSG00000088511,Mus musculus
Q66659967,Gm24382,14,ENSMUSG00000084647,115489788,ENSMUSG00000084647,Mus musculus
Q66667914,Gm24830,14,ENSMUSG00000095701,115489789,ENSMUSG00000095701,Mus musculus
Q66659968,Gm22577,14,ENSMUSG00000065665,115489790,ENSMUSG00000065665,Mus musculus
Q66662907,Gm23337,14,ENSMUSG00000089584,115489791,ENSMUSG00000089584,Mus musculus
Q66667917,Gm23025,14,ENSMUSG00000089394,115489793,ENSMUSG00000089394,Mus musculus
Q66662908,Gm26468,14,ENSMUSG00000089269,115489794,ENSMUSG00000089269,Mus musculus
Q66659490,Gm23196,14,ENSMUSG00000089431,115489795,ENSMUSG00000089431,Mus musculus
Q66659491,Gm22078,14,ENSMUSG00000088218,115489796,ENSMUSG00000088218,Mus musculus
Q66670487,Gm22491,14,ENSMUSG00000087815,115489797,ENSMUSG00000087815,Mus musculus
Q66665294,Gm24851,14,ENSMUSG00000088653,115489799,ENSMUSG00000088653,Mus musculus
Q66659969,Gm25592,14,ENSMUSG00000064569,115489806,ENSMUSG00000064569,Mus musculus
Q66662911,Gm25056,14,ENSMUSG00000087997,115489807,ENSMUSG00000087997,Mus musculus
Q66661315,Gm27811,14,ENSMUSG00000098444,115489809,ENSMUSG00000098444,Mus musculus
