,id,match,name,score,type,type_id,input_value
0,Q101062513,False,Basal cell of the skin,67.0,cell type,Q189118,Basal cells
1,Q101062590,True,Trigeminal neuron,100.0,cell type,Q189118,Trigeminal neurons
2,Q2596226,True,juxtaglomerular cell,100.0,cell type,Q189118,Juxtaglomerular cells
3,Q1164962,True,pancreatic stellate cells,100.0,cell type,Q189118,Pancreatic stellate cells
4,Q463418,True,fibroblast,100.0,cell type,Q189118,Fibroblasts
5,Q3866857,False,gamma motor neuron,93.0,cell type,Q189118,Motor neurons
6,Q101062572,True,Mammary epithelial cell,100.0,cell type,Q189118,Mammary epithelial cells
7,,False,,,,,Parietal cells
8,Q101062584,True,Peri-islet Schwann cell,100.0,cell type,Q189118,Peri-islet Schwann cells
9,Q919689,True,medullary chromaffin cell,97.0,cell type,Q189118,Chromaffin cells
10,Q506253,True,dendritic cell,100.0,cell type,Q189118,Dendritic cells
11,,False,,,,,Tuft cells
12,Q101062703,True,Trophoblast progenitor cell,100.0,cell type,Q189118,Trophoblast progenitor cells
13,Q821701,True,megakaryocyte,100.0,cell type,Q189118,Megakaryocytes
14,Q5464650,True,Follicular B Helper T cells,100.0,cell type,Q189118,T follicular helper cells
15,Q632518,True,T helper cell,100.0,cell type,Q189118,T helper cells
16,Q101003525,True,Epiblast cell,100.0,cell type,Q189118,Epiblast cells
17,Q748049,True,photoreceptor cell,100.0,cell type,Q189118,Photoreceptor cells
18,Q5249153,True,Decidual cells,100.0,cell type,Q189118,Decidual cells
19,Q101026,True,platelets,100.0,cell type,Q189118,Platelets
20,Q101062509,True,Urothelial cell,100.0,cell type,Q189118,Urothelial cells
21,Q109186,False,swelling,21.5,[],,Transient cells
22,Q101062469,True,Proximal tubule cell,100.0,cell type,Q189118,Proximal tubule cells
23,Q101062619,True,Luminal epithelial cell,100.0,cell type,Q189118,Luminal epithelial cells
24,Q101062559,True,Purkinje fiber cell,100.0,cell type,Q189118,Purkinje fiber cells
25,Q1622829,True,microglia,100.0,cell type,Q189118,Microglia
